id,calculated_name,db_name,raw_text_snippet,decision_log
1954,CalebPicks,CalebPicks,**CalebPicks ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: (62 © 6% gCPI,   Input Lines (11): |      [0] '**CalebPicks' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'CalebPicks' |      ✅ Valid Name Found!
1953,Unknown Capper,OCR RESULT (Combines 3 Passes,"[OCR RESULT (Combines 3 Passes)]: 41% trom the fieid on 66 FG attempts per contest. Tonight, they SC","   Input Lines (69): |      [0] '41% trom the fieid on 66 FG attempts per contest. Tonight, they SCST defense surrendering just 60 FG attempts per game while' |      [1] '41% trom the field on 66 FG attempts per contest. Tonight, they SCST defense surrendering just 60 FG attempts per game while' |      [2] '6PM CBB:' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '41% trom the fieid on 66 FG attempts per contest. Tonight, they SCST defense surrendering just 60 FG attempts per game while' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: '41% trom the field on 66 FG attempts per contest. Tonight, they SCST defense surrendering just 60 FG attempts per game while' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback."
1952,TMS,TMS,**TMS ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: #45] EAGLES “1% | ) ,   Input Lines (55): |      [0] '**TMS' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'TMS' |      ✅ Valid Name Found!
1951,duckinvestments,duckinvestments,**duckinvestments ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 1 PHX Su,   Input Lines (19): |      [0] '**duckinvestments' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'duckinvestments' |      ✅ Valid Name Found!
1950,Vinny,Vinny,**Vinny ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: Eagles Chargers Un,   Input Lines (14): |      [0] '**Vinny' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Vinny' |      ✅ Valid Name Found!
1939,VEGASMIRABET,VEGASMIRABET,"**VEGASMIRABET - ✅**   [OCR RESULT (Combines 3 Passes)]: $2,000 = 20% of pankron = 4 units $2u,000 =","   Input Lines (70): |      [0] '**VEGASMIRABET - ✅**' |      [1] '$2,000 = 20% of pankron = 4 units' |      [2] '$2u,000 = 20% of pankron = 4 units' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'VEGASMIRABET' |      ✅ Valid Name Found!"
1938,TRAVY,TRAVY,**TRAVY - ✅**   [OCR RESULT (Combines 3 Passes)]: 1 Unit = 10% Bankroll Broncos -2.5 (NFL) JY Bronco,   Input Lines (8): |      [0] '**TRAVY - ✅**' |      [1] '1 Unit = 10% Bankroll' |      [2] 'Broncos -2.5 (NFL) JY' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'TRAVY' |      ✅ Valid Name Found!
1937,AFS,AFS,**AFS - ✅**   [OCR RESULT (Combines 3 Passes)]: ! ' T ! a SS Ses ww. Oo | | ! a See Ses ww. a | | $1,   Input Lines (52): |      [0] '**AFS - ✅**' |      [1] '! ' T' |      [2] '! a SS Ses ww. Oo | |' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'AFS' |      ✅ Valid Name Found!
1936,MAIN PLAY,MAIN PLAY,⏺**MAIN PLAY - ✅**  ⏺**THE OWNER’S SMALL PERSONAL PLAY - ✅  Main Play cashed but everyone who was on,   Input Lines (51): |      [0] '⏺**MAIN PLAY - ✅**' |      [1] '⏺**THE OWNER’S SMALL PERSONAL PLAY - ✅' |      [2] 'Main Play cashed but everyone who was on board is getting today’s VIP package for FREE **🤝' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'MAIN PLAY' |      ✅ Valid Name Found!
1935,Unknown Capper,OCR RESULT (Combines 3 Passes,"[OCR RESULT (Combines 3 Passes)]: ""Green Bay Packers (-6.5) -115 ""« Green Bay Packers (-6.5) -115 '.","   Input Lines (40): |      [0] '""Green Bay Packers (-6.5) -115' |      [1] '""« Green Bay Packers (-6.5) -115' |      [2] ''.« Green Bay Packers (-6.5) -115' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Green Bay Packers (-6.5) -115' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: '' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback."
1934,BigAl,BigAl,**BigAl ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: +) HandicapperRepo,   Input Lines (27): |      [0] '**BigAl' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'BigAl' |      ✅ Valid Name Found!
1933,TMS,TMS,**TMS ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 2-Team Parlay (0.5 u,   Input Lines (25): |      [0] '**TMS' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'TMS' |      ✅ Valid Name Found!
1932,SnewJ,SnewJ,**SnewJ ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: Eagles ML Go big o,   Input Lines (8): |      [0] '**SnewJ' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'SnewJ' |      ✅ Valid Name Found!
1931,PardonMyPick,PardonMyPick,**PardonMyPick ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 10U NFL MAX,   Input Lines (14): |      [0] '**PardonMyPick' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'PardonMyPick' |      ✅ Valid Name Found!
1930,five,five (added,**five (added) ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: (NFL) *Gold,   Input Lines (18): |      [0] '**five (added)' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'five' |      ✅ Valid Name Found!
1929,BulliesPicks,BulliesPicks,**BulliesPicks ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: @bhapperstr,   Input Lines (19): |      [0] '**BulliesPicks' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'BulliesPicks' |      ✅ Valid Name Found!
1928,AMPM,AMPM,"**AMPM ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: December , 7, 2025 ",   Input Lines (15): |      [0] '**AMPM' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'AMPM' |      ✅ Valid Name Found!
1927,KimsPicks,KimsPicks,**KimsPicks ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: *y. KimsVIP @ ,   Input Lines (12): |      [0] '**KimsPicks' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'KimsPicks' |      ✅ Valid Name Found!
1926,Travy,Travy,**Travy ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 1 Unit = 10% Bankr,   Input Lines (9): |      [0] '**Travy' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Travy' |      ✅ Valid Name Found!
1925,AFS,AFS,**AFS ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: ! Ie ee ee MD | TY $,   Input Lines (56): |      [0] '**AFS' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'AFS' |      ✅ Valid Name Found!
1924,codycoverspreads,codycoverspreads,"**codycoverspreads ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: +6,Bron",   Input Lines (53): |      [0] '**codycoverspreads' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'codycoverspreads' |      ✅ Valid Name Found!
1923,duckinvestments,duckinvestments,**duckinvestments ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: CHI Bear,   Input Lines (18): |      [0] '**duckinvestments' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'duckinvestments' |      ✅ Valid Name Found!
1922,KingCap,KingCap,**KingCap ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 1st half --@Gapp,   Input Lines (23): |      [0] '**KingCap' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'KingCap' |      ✅ Valid Name Found!
1921,Vinny,Vinny,**Vinny ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 3 @ Colts Jaguars ,   Input Lines (17): |      [0] '**Vinny' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Vinny' |      ✅ Valid Name Found!
1920,BeezoWins,BeezoWins,**BeezoWins ➖➖➖➖➖ DM****➡️****@cappersfree****✅**   [OCR RESULT (Combines 3 Passes)]: 2% BeezoWins V,   Input Lines (29): |      [0] '**BeezoWins' |      [1] '➖➖➖➖➖' |      [2] 'DM****➡️****@cappersfree****✅**' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'BeezoWins' |      ✅ Valid Name Found!
